Year,CEPCI_Predicted,CEPCI_Lower,CEPCI_Upper,Prophet_Forecast,GPR_Adjustment
2024,814.623275233515,759.7751900705576,867.6569302221028,814.6016122908239,0.021662942690991855
2025,864.1307602866782,806.9286113171571,918.8547048782908,864.1082832737465,0.02247701293172105
2026,913.8818035942654,839.569673706241,986.7972310101362,913.859309043262,0.02249455100338957
2027,963.7745614486852,856.8021855459582,1067.4911265924748,963.7520665409419,0.022494907743282822
2028,972.8051542186357,827.7899853296955,1105.2535091893553,972.7826593039011,0.022494914734619894
2029,1024.1616683456757,835.0962373945443,1211.0078018130068,1024.1391734308077,0.022494914868107427
2030,1075.6421835741774,836.8797953166185,1308.365427108956,1075.6196886593068,0.022494914870607414
2031,1127.1419715805187,836.4413858991602,1405.2106611330312,1127.119476665648,0.022494914870653544
2032,1130.9862012319861,789.9894523529971,1450.4095091014012,1130.9637063171156,0.022494914870654387
2033,1184.1925585025592,776.02515890305,1567.4898934845316,1184.1700635876887,0.0224949148706544
2034,1237.4025631904808,775.4647325830032,1682.708814074313,1237.3800682756103,0.0224949148706544
2035,1290.5093817050629,746.2142607905436,1787.5208977411082,1290.4868867901923,0.0224949148706544
2036,1289.1672482449046,694.4599955048274,1849.5437380837154,1289.144753330034,0.0224949148706544
2037,1344.2234486593754,683.502109266497,1969.1146659881474,1344.200953744505,0.0224949148706544
2038,1399.1629428064396,650.2098010851217,2096.9273970798004,1399.140447891569,0.0224949148706544
2039,1453.8767918294946,640.1506198916793,2238.12457047842,1453.854296914624,0.0224949148706544
2040,1447.348295257955,580.9976944104925,2269.1473376027748,1447.3258003430844,0.0224949148706544
2041,1504.2543388165404,549.8831261916355,2411.9750537464884,1504.23184390167,0.0224949148706544
2042,1560.9233224224,492.4886321848795,2549.3731925571096,1560.9008275075294,0.0224949148706544
2043,1617.2442019543046,458.8793361901229,2677.8891122537198,1617.221707039434,0.0224949148706544
2044,1605.5293422713332,409.9699122149896,2696.0822784875913,1605.5068473564627,0.0224949148706544
2045,1664.2852289734424,352.3219563304694,2851.1819594124145,1664.2627340585718,0.0224949148706544
2046,1722.6837020384737,297.106138980219,3017.72060311776,1722.6612071236032,0.0224949148706544
2047,1780.6116120788352,238.9043278670004,3186.9404233491327,1780.5891171639646,0.0224949148706544
2048,1763.710389284247,161.22879734541382,3214.878512178021,1763.6878943693764,0.0224949148706544
2049,1824.3161191302304,114.70050438247526,3351.380870083206,1824.2936242153598,0.0224949148706544
2050,1884.4440816546085,51.855383428026954,3493.999976615146,1884.421586739738,0.0224949148706544
2051,1943.979022203265,0.0,3667.904159727293,1943.9565272883945,0.0224949148706544
2052,1921.8914362971536,0.0,3671.8133832233893,1921.868941382283,0.0224949148706544
2053,1984.3470092873577,0.0,3843.0426917320424,1984.324514372487,0.0224949148706544
2054,2046.2044612708753,0.0,4022.8999656046685,2046.1819663560048,0.0224949148706544
2055,2107.3464323278195,0.0,4196.798814109271,2107.323937412949,0.0224949148706544
2056,2080.0724833102568,0.0,4233.620931697553,2080.049988395386,0.0224949148706544
2057,2144.3778994444924,0.0,4416.064345847398,2144.355404529622,0.0224949148706544
2058,2207.9648408866606,0.0,4620.048519960327,2207.94234597179,0.0224949148706544
2059,2270.7138424526765,0.0,4850.133555716176,2270.691347537806,0.0224949148706544
2060,2238.2535303235736,0.0,4849.148830524374,2238.231035408703,0.0224949148706544
